,node name,peak bytes,residual bytes,output bytes,total execution time,accelerator execution time,cpu execution time,# parameters,# float_ops,assigned devices,op types,op occurrence (run
18,GreaterEqual,0.25,0.25,0.25,1.06,0.004999999999999999,1.05,0,1e-06, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|GreaterEqual,"        1|1
"
19,AvgPoolGrad,2519.04,802.82,802.82,0.757,0.6219999999999999,0.135,0,0.40141000000000004, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|AvgPoolGrad,"        1|1
"
21,SoftmaxCrossEntropyWithLogits,1.28,0.75,0.5,0.628,0.10499999999999998,0.523,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|SoftmaxCrossEntropyWithLogits,"        1|1
"
23,RealDiv,26.62,26.62,43.27,0.26399999999999996,0.018,0.245,0,0.016390000000000002, |/job:localhost/replica:0/task:0/device:cpu:0|/job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:cpu:0|/job:localhost/replica:0/task:0/device:gpu:0|RealDiv,"       4|10
"
24,RandomUniform,16.38,16.38,16.38,0.22099999999999997,0.039999999999999994,0.18099999999999997,0,0.0, |/job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|RandomUniform,"        1|4
"
25,AvgPool,16.38,16.38,16.38,0.205,0.078,0.127,0,0.2007, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|AvgPool,"        1|1
"
26,Equal,0.25,0.25,0.25,0.165,0.004,0.16099999999999998,0,20.17, |/job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|Equal,"       1|42
"
27,ArithmeticOptimizer/AddOpsRewrite_AddN,0.0,0.0,0.25,0.157,0.007,0.15,0,0.0, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|ArithmeticOptimizer/AddOpsRewrite_AddN,"        1|1
"
29,Add,0.0,0.0,16.38,0.119,0.014999999999999998,0.104,0,3.35, |/job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|Add,"       1|34
"
30,BiasAddGrad,0.25,0.25,0.25,0.119,0.008,0.111,0,2.9999999999999997e-05, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|BiasAddGrad,"        1|1
"
31,Sum,0.25,0.25,16.64,0.11699999999999999,0.004,0.11299999999999999,0,3e-06, |/job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|Sum,"        2|9
"
32,Floor,0.0,0.0,16.39,0.102,0.011,0.09099999999999998,0,0.0, /job:localhost/replica:0/task:0/device:cpu:0|/job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:cpu:0|/job:localhost/replica:0/task:0/device:gpu:0|Floor,"        2|2
"
33,Select,0.0,0.0,0.25,0.082,0.003,0.079,0,0.0, |/job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|Select,"        1|5
"
35,BiasAdd,0.0,0.0,0.25,0.07599999999999998,0.004,0.071,0,3.9999999999999996e-05, /job:localhost/replica:0/task:0/device:gpu:0, /job:localhost/replica:0/task:0/device:gpu:0|BiasAdd,"        1|1
"
